,tokens,ner_tags,langs,spans
593,"['Хелена', 'Бонэм', 'Картер', '—', ""''Кызыл"", 'Патшабикә', '(', 'Ирацибета', ')', ""''""]","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Хелена Бонэм Картер']
594,"[""'"", ""''"", 'Лемша', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
595,"['Урын', 'тирәсендә', 'Яшьлек', 'метро', 'станциясе', 'бар', '.']","[0, 0, 3, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Яшьлек метро станциясе']
596,"['Төньяк', 'Осетия', 'биләмәләрендә', 'ага', '.']","[3, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Төньяк Осетия']
597,"[""''Әнисә"", ""''"", '«Сөю', 'гөнаһмы', '?', '»', 'Т.', 'Миңнуллин', '.']","[0, 0, 0, 0, 0, 0, 1, 2, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Т. Миңнуллин']
598,"['Мәчетнең', 'имам-хатыйбы', 'Вәлиулла', 'хәзрәт', 'Якупов', '.']","[0, 0, 1, 2, 2, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Вәлиулла хәзрәт Якупов']
599,"[""'"", ""''"", 'Вонга', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
600,"['ЮНӘЛТҮ', 'Eurovision', 'җыр', 'бәйгесе', '2012']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Eurovision җыр бәйгесе 2012']
601,"['Софья', 'Гобәйдуллина', ',', 'композитор', '.']","[1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Софья Гобәйдуллина']
602,"[""'"", ""''"", 'Веуч', ""'"", ""''"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
603,"['Zevsnıñ', 'señlese', 'häm', 'xatını', '.']","[1, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Zevsnıñ']
604,"['Поль', 'Анри', 'Һольбах']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Поль Анри Һольбах']
605,"['Алтай', 'крае', ',', 'Алтай', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Алтай крае', 'LOC: Алтай Республикасы']"
606,"['18-нче', 'армия', '(', 'Вермахт', ')']","[3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: 18-нче армия ( Вермахт )']
607,"['Артек', 'пионерлар', 'лагеренә', 'юллама', 'белән', 'бүләкләнә', '.']","[3, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Артек']
608,"['Ләкин', 'Цезарьне', 'үтергәннән', 'соң', ',', 'Гай', 'Октавий', 'Цезарьнең', 'варисы', 'булып', 'игълан', 'ителә', '.']","[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Гай Октавий']
609,"['КамАЗавтоцентр', '(', 'футбол', 'клубы', ',', 'Яр', 'Чаллы', ')']","[3, 4, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: КамАЗавтоцентр ( футбол клубы , Яр Чаллы )']"
610,"['Ибраһим', 'I', 'солтаны', 'улы', '.']","[1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Ибраһим I']
611,"['Уфа', 'дәүләт', 'нефть', 'техника', 'университеты']","[3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Уфа дәүләт нефть техника университеты']
612,"[""'"", ""''"", 'Нярэль-Мачель-Кы', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
613,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
614,"['Англия', ""''"", 'дәге', 'мәгърифәтчелекнең', 'төп', 'вәкилләре', '–', 'Дж.', 'Локк', ',', 'Дж.А', '.']","[5, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Англия', 'PER: Дж. Локк']"
615,"[""'"", ""''"", 'Козинка', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
616,"['«Ялгыз', 'Каен»да', '(', 'Мостай', 'Кәрим', ')', '–', 'Шәүкәтов']","[0, 0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Мостай Кәрим']
617,"['Алтай', 'Республикасы', ',', 'Алтай', 'крае', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Алтай Республикасы', 'LOC: Алтай крае']"
618,"['Омск', 'өлкәсе', ',', 'Новосибирск', 'өлкәсе', ',', 'Төмән', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Омск өлкәсе', 'LOC: Новосибирск өлкәсе', 'LOC: Төмән өлкәсе']"
619,"['Вологда', 'өлкәсе', ',', 'Архангельск', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Вологда өлкәсе', 'LOC: Архангельск өлкәсе']"
620,"['ЮНӘЛТҮ', 'Piter', 'Paul', 'Rubens']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Piter Paul Rubens']
621,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
622,"['Уильям', 'Шекспир', '«Уникенче', 'төн»', '(', ""''Двенадцатая"", 'ночь', ""''"", ')']","[1, 2, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Уильям Шекспир']
623,"['Мәркәзе', '—', 'Дөбәй', 'шәһәре', '.']","[0, 0, 5, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Дөбәй']
624,"['Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Коми Республикасы']
625,"[""'"", ""''"", 'Чехия', ""''"", ""'""]","[0, 0, 5, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Чехия']
626,"['ЮНӘЛТҮ', 'Könyaq-Könçığış', 'Aziä', 'däwlätläre', 'berläşmäse']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Könyaq-Könçığış Aziä däwlätläre berläşmäse']
627,"['Русия', ',', 'СССР', ',', 'РФ', 'җитәкчеләре']","[1, 2, 2, 2, 2, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['PER: Русия , СССР , РФ җитәкчеләре']"
628,"['Дәүләтбай', '–', '«Кыз', 'урлау»', '(', 'Мостай', 'Кәрим', ')', ';']","[0, 0, 0, 0, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Мостай Кәрим']
629,"['Удмуртия', '(', 'Можга', 'районы', ')']","[5, 0, 5, 6, 0]","['tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Удмуртия', 'LOC: Можга районы']"
630,"['Алтай', 'Республикасы', ',', 'Алтай', 'крае', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Алтай Республикасы', 'LOC: Алтай крае']"
631,"['Башкорт', 'дәүләт', 'университеты']","[3, 4, 4]","['tt', 'tt', 'tt']",['ORG: Башкорт дәүләт университеты']
632,"['Үзе', 'артыннан', 'Нафанаилны', '—', 'Апостол', 'Варфоломейны', 'да', 'ияртә', '.']","[0, 0, 0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Апостол Варфоломейны']
633,"['Әлеге', 'вакытта', 'Кыйтга', 'хоккей', 'лигасында', 'уйный', '.']","[0, 0, 3, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Кыйтга хоккей лигасында']
634,"['Шәһәрнең', 'Аурупа', 'яртысы', 'дә', 'ике', 'өлешкә', 'бүленә', '.']","[0, 5, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Аурупа']
635,"['юнәлтү', 'Русия', 'Федерациясе', 'коммунистик', 'фиркасе']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Русия Федерациясе коммунистик фиркасе']
636,"['ЮНӘЛТҮ', 'Казан', '(', 'Идел', 'буе', ')', 'федераль', 'университеты']","[0, 3, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Казан ( Идел буе ) федераль университеты']
637,"['Көнбатыш', 'фронт', '(', 'Георгий', 'Жуков', ')', '.']","[3, 4, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Көнбатыш фронт', 'PER: Георгий Жуков']"
638,"[""'"", ""''"", 'Смотрино', ""''"", ""'"", '(', ')', '—', 'Киров', 'өлкәсенең', 'Кикнур', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсенең', 'LOC: Кикнур районында']"
639,"[""''Надир"", 'мәхдүм', ""''"", '—', '«Сүнгән', 'йолдызлар»', 'Кәрим', 'Тинчурин']","[0, 0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Кәрим Тинчурин']
640,"[""''Әдамшаһ"", ""''"", '«Ташлама', 'утны', ',', 'Прометей»', 'М.', 'Кәрим']","[0, 0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: М. Кәрим']
641,"[""'"", ""''"", 'Франц', 'Һалдер', '.', ""''"", ""'""]","[0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Франц Һалдер']
642,"['Гермиона', 'Грейнджер', ""''"", '—', 'Эмма', 'Уотсон']","[1, 2, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['PER: Гермиона Грейнджер', 'PER: Эмма Уотсон']"
643,"['ЮНӘЛТҮ', 'Hawa', 'transportı', 'buyınça', 'federal', ""'"", 'agentlıq']","[0, 3, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","[""ORG: Hawa transportı buyınça federal ' agentlıq""]"
644,"['Кеше', 'потенциалы', 'үсеше', 'индексы', '(', 'КПҮИ', ')']","[3, 4, 4, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Кеше потенциалы үсеше индексы']
645,"['Русиянең', 'Футбол', 'Премьер-Лигасы']","[3, 4, 4]","['tt', 'tt', 'tt']",['ORG: Русиянең Футбол Премьер-Лигасы']
646,"['Днепр', 'елгасын', 'кичкәндә', 'элемтә', 'урнаштырган', 'махсус', 'төркемдә', 'катнаша', '.']","[3, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Днепр']
647,"[""'"", ""''"", 'Самороде-Яха', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
648,"['«Пушкиниана»', ""''"", '(', 'А.С.', 'Пушкин', 'сүзләренә', ')', ""''"", 'шәлкеме']","[0, 0, 0, 1, 2, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: А.С. Пушкин']
649,"['Француз', 'колониаль', 'империясе']","[3, 4, 4]","['tt', 'tt', 'tt']",['ORG: Француз колониаль империясе']
650,"['«Эх', ',', 'кызлар', '!', '»', 'Туфан', 'Миңнуллин']","[0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Туфан Миңнуллин']
651,"[""''Җиһан"", ""''"", '—', '«Башмагым»', 'Җәүдәт', 'Фәйзи', '(', 'муз', '.']","[0, 0, 0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Җәүдәт Фәйзи']
652,"[""'"", ""''"", 'Мут-Парый-Кикя', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
653,"['—', 'Укытучылар', 'көне', '.']","[0, 1, 2, 0]","['tt', 'tt', 'tt', 'tt']",['PER: Укытучылар көне']
654,"[""'"", ""''"", 'Пыреги', ""''"", ""'"", '(', ')', '—', 'Киров', 'өлкәсенең', 'Слободской', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсенең', 'LOC: Слободской районында']"
655,"['Аңа', 'Наполеон', 'Бонапарт', 'сөргенгә', 'җибәрелгән', 'булган', '.']","[0, 1, 2, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Наполеон Бонапарт']
656,"['Калинин', 'фронты', '(', 'Иван', 'Степан', 'улы', 'Конев', ')', '.']","[5, 6, 0, 1, 2, 2, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Калинин фронты', 'PER: Иван Степан улы Конев']"
657,"['Татарстанда', 'район', 'башкарма', 'комитеты', 'рәисе', 'вазифасына', 'билгеләнгән', 'беренче', 'хатын-кыз', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Татарстанда']
658,"['Zevs', 'häm', 'pleyada', 'Maya', 'ulı', '.']","[1, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Zevs']
659,"['Гарәп', 'теленнән', 'кергән', '«Габдрахман»', '(', '«', ""''"", 'Мәрхәмәтленең', 'колы', ""''"", '»', ')', 'исеменнән', 'ясалган', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Гарәп теленнән']
660,"['Tokio', 'fond', 'birjası', '—', '$', '3,827']","[3, 4, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Tokio fond birjası']
661,"['ЮНӘЛТҮ', 'Вилһелм', 'II', '(', 'Алмания', 'императоры', ')']","[0, 1, 2, 2, 2, 2, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Вилһелм II ( Алмания императоры )']
662,"['Әмма', 'бу', 'аңа', 'Иван', 'III', 'белән', 'дә', 'килешү', 'төзергә', 'комачауламый', '.']","[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Иван III']
663,"['Ишембайнефть', 'укыту', 'комбинатында', 'укый', '.']","[5, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Ишембайнефть']
664,"['Маргарита', '(', 'Булгаков', 'персонажы', ')']","[1, 2, 2, 2, 2]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Маргарита ( Булгаков персонажы )']
665,"['«Тере', 'мәет»', ',', 'Л.', 'Толстой', ')', '-', ""''Петрушин"", ""''""]","[0, 0, 0, 1, 2, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Л. Толстой']
666,"['Уильям', 'Рандал', 'Кример']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Уильям Рандал Кример']
667,"[""''Ğabdulla"", 'Çälber', ""''"", ')', '(', '1200-1242', ')', '—', 'Идел', 'буе', 'Болгары', 'хәкиме', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Идел буе Болгары']
668,"['Әбу', 'Гали', 'ибн', 'Сина']","[1, 2, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Әбу Гали ибн Сина']
669,"[""''Искәндәр"", ""''"", '«Тапшырылмаган', 'хатлар»', 'Г.', 'Кутуй', '.']","[0, 0, 0, 0, 1, 2, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Г. Кутуй']
670,"['Karl', 'Raimund', 'Popper']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Karl Raimund Popper']
671,"['Селена', 'Гомес', '(', 'җырчы', ')', '(', 'аерылыштылар', 'хэзерге', 'конгэ', ')', ')']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Селена Гомес']
672,"['Кытай', 'һәм', '—', ""'"", ""''"", 'Укытучылар', 'көне', ""''"", ""'"", ""''"", '(', ')', '.']","[5, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Кытай', 'PER: Укытучылар көне']"
673,"[""'"", ""''"", 'Озёрец', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
674,"['Куйбышев', 'тимер', 'юлының', ""''Кудеевка"", ""''"", 'станциясе', '.']","[3, 4, 4, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Куйбышев тимер юлының']
675,"['ЮНӘЛТҮ', 'Kir', 'II', 'Böyek']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Kir II Böyek']
676,"[""'"", ""''"", 'Чичка', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
677,"['ЮНӘЛТҮ', 'Martin', 'Lüter', 'King']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Martin Lüter King']
678,"['Төньяк', 'тимер', 'юлының', ""''Плесецкая"", ""''"", 'станциясе', '.']","[3, 4, 4, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Төньяк тимер юлының']
679,"['Пермь', 'крае', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Пермь крае']
680,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
681,"['Ак', 'мәчет', '(', 'Назарет', ')']","[3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Ак мәчет ( Назарет )']
682,"['ЮНӘЛТҮ', 'Яшьлек', '(', 'метро', 'станциясе', ')']","[0, 3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Яшьлек ( метро станциясе )']
683,"[""''Бессеменев"", ""''"", '—', '«Өзелгән', 'өмет»', '(', ""''Мещане"", ""''"", ')', 'Максим', 'Горький']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Максим Горький']
684,"[""''көнчыгышта"", ""''"", '—', 'Червона-Зирка', 'авылы', ',', 'Луганск', 'өлкәсе', '.']","[0, 0, 0, 0, 0, 0, 5, 6, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Луганск өлкәсе']
685,"['Көнбатыш', 'фронт', '(', 'Георгий', 'Жуков', ')', '.']","[3, 4, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Көнбатыш фронт', 'PER: Георгий Жуков']"
686,"['Рөстәм', 'Яхин', ',', 'композитор']","[1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt']",['PER: Рөстәм Яхин']
687,"['Артур', 'Конан', 'Дойль']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Артур Конан Дойль']
688,"['Джордж', 'Уокер', 'Буш']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Джордж Уокер Буш']
689,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
690,"[""'"", ""''"", 'Кожай-Семеновка', ""''"", ""'"", '—', 'Башкортстанның', 'Миякә', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 5, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Башкортстанның', 'LOC: Миякә районында']"
691,"['Архангельск', 'өлкәсе', ',', 'Вологда', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Архангельск өлкәсе', 'LOC: Вологда өлкәсе']"
692,"['Şanxay', 'xezmättäşlek', 'oyışması']","[3, 4, 4]","['tt', 'tt', 'tt']",['ORG: Şanxay xezmättäşlek oyışması']
693,"[""'"", ""''"", 'Хульнен-Пугор-Юган', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
694,"['ЮНӘЛТҮ', 'AQŞ', 'wäkillär', 'pulatı']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: AQŞ wäkillär pulatı']
